fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
Sundaram Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,34396.0,0.1,15.74,11.99,18.74,1.47,14.43,-0.23,1.0
Sundaram Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,12724.0,0.03,18.81,9.22,14.38,1.52,14.28,0.69,0.98
Sundaram Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,22975.0,0.35,17.13,9.35,12.1,0.65,14.46,-0.5,0.99
Sundaram Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,21158.0,0.69,18.0,31.46,39.32,1.51,27.0,4.66,1.18
Sundaram IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,22805.0,1.36,46.64,36.42,12.16,1.81,25.76,0.66,0.89
Sundaram Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,11969.0,0.34,6.32,6.49,5.6,1.08,1.68,0.07,0.14
Bandhan Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,24912.0,0.9,9.13,17.54,17.72,0.62,14.77,1.15,0.97
Bandhan Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,13633.0,1.25,19.85,13.32,17.91,0.85,18.49,5.2,0.94
Bandhan Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,8821.0,2.15,17.75,34.12,25.27,1.92,21.44,6.81,0.8
Bandhan Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,54827.0,0.92,19.35,17.77,18.6,1.63,17.01,-1.66,0.94
Bandhan Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,4699.0,1.28,31.47,16.19,13.38,1.5,17.43,0.85,0.85
Bandhan Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,5980.0,1.81,25.65,20.36,23.93,0.62,15.67,2.42,0.86
Bandhan ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,13344.0,1.64,16.77,11.17,20.72,0.63,14.26,4.07,0.99
Bandhan Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,14757.0,2.39,10.86,18.37,21.87,1.01,15.48,-0.92,0.89
Bandhan Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,12863.0,2.09,25.98,15.05,18.14,1.78,11.38,4.75,1.02
Bandhan Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,38786.0,0.19,14.76,14.55,11.93,0.93,20.9,0.36,1.01
Bandhan Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,30524.0,0.44,25.42,17.73,21.93,1.08,11.31,-0.74,1.02
Bandhan Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,18202.0,0.08,23.86,18.93,15.62,0.69,13.79,0.81,1.02
Bandhan Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,7191.0,0.48,8.09,14.43,23.91,0.66,11.39,0.59,1.0
Bandhan Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,11875.0,0.02,26.02,9.92,12.99,0.53,15.23,-0.51,1.01
Bandhan Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,11275.0,2.37,32.22,16.59,24.72,2.19,23.97,1.67,0.77
Bandhan Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,4831.0,0.85,6.34,5.78,5.07,2.55,1.34,-0.48,0.1
Quant Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,34953.0,2.05,11.29,15.21,12.98,1.4,11.17,0.32,0.86
Quant Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,29506.0,2.13,16.56,17.88,22.17,1.07,13.37,3.27,0.95
Quant Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,12223.0,1.1,21.05,22.08,39.0,1.13,16.11,1.78,0.97
Quant Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,36154.0,1.33,25.21,12.46,14.62,1.98,16.02,1.71,0.98
Quant Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,3146.0,1.12,27.85,12.2,27.17,0.78,15.79,1.18,0.87
Quant Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,7253.0,0.87,29.49,20.81,21.05,0.8,17.46,-0.59,0.9
Quant ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,9273.0,2.47,30.84,25.12,25.06,0.62,17.38,0.42,0.98
Quant Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,6167.0,1.79,24.66,23.03,25.31,1.55,18.17,-1.65,1.05
Quant Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,10308.0,1.23,17.23,13.58,13.53,1.29,16.95,-0.68,0.97
Quant Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,36494.0,0.12,7.85,9.89,23.25,1.43,18.61,0.54,1.01
Quant Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,5215.0,0.38,17.93,11.54,11.08,1.44,15.95,0.82,0.98
Quant Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,49692.0,0.21,25.28,19.49,12.75,1.39,12.87,-0.26,0.99
Quant Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,26330.0,0.12,23.65,20.46,21.95,1.04,10.69,-0.74,0.98
Quant Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,14728.0,0.3,19.65,9.23,17.16,1.54,13.46,-0.83,1.02
Quant Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,1953.0,0.48,21.15,15.01,18.44,1.22,15.35,0.35,1.0
Quant Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,9432.0,0.5,32.42,18.46,17.03,2.46,25.05,8.71,1.26
Invesco India Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,50358.0,1.72,9.34,11.82,23.33,1.47,15.82,1.64,0.85
Invesco India Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,5200.0,1.77,34.16,26.8,15.24,1.66,17.91,6.07,0.96
Invesco India Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,16055.0,1.4,44.45,15.76,25.55,1.88,19.26,1.52,1.06
Invesco India Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,5630.0,0.83,30.38,21.64,27.84,0.85,16.46,1.54,0.96
Invesco India Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,7466.0,1.98,31.14,16.39,24.05,1.85,18.69,2.04,1.0
Invesco India Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,8286.0,0.99,8.41,26.08,15.41,1.0,15.96,0.37,0.9
Invesco India ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,605.0,1.69,30.27,23.73,20.15,1.95,13.81,0.97,0.98
Invesco India Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,3231.0,1.34,32.42,23.77,21.26,0.97,14.1,5.47,0.93
Invesco India Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,11286.0,0.75,24.76,22.46,19.81,1.68,13.87,4.58,0.94
Invesco India Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,3364.0,2.02,8.65,23.5,15.26,0.61,16.31,-1.53,0.9
Invesco India Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,23788.0,0.2,24.04,13.5,14.47,1.33,21.03,0.2,1.01
Invesco India Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,2727.0,0.35,22.79,16.89,19.09,1.35,21.52,0.71,1.02
Invesco India Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,47948.0,0.47,18.59,13.5,12.99,1.21,10.99,-0.2,1.01
Invesco India Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,519.0,0.12,14.43,21.31,12.24,1.14,11.12,0.34,1.01
Invesco India Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,4836.0,0.58,24.15,21.62,23.68,0.78,21.22,1.5,1.01
Invesco India IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,2618.0,0.74,14.91,25.75,43.7,1.29,16.9,9.2,1.19
Invesco India Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,12937.0,0.61,46.56,24.23,26.38,2.33,24.07,1.83,1.06
Invesco India Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,12507.0,0.88,6.4,5.5,5.75,2.12,1.92,0.15,0.08
Edelweiss Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,21704.0,1.22,18.58,19.49,17.07,1.53,12.03,1.4,0.86
Edelweiss Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,11480.0,1.02,23.45,12.14,20.1,1.84,18.12,-1.35,0.89
Edelweiss Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,16622.0,2.43,28.33,34.51,22.01,0.82,23.91,-0.42,0.85
Edelweiss Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,28735.0,1.77,17.44,20.75,24.31,1.58,13.18,2.0,1.02
Edelweiss Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,3921.0,0.86,34.08,23.6,22.57,1.94,15.01,4.81,0.95
Edelweiss Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,4528.0,1.24,22.14,20.21,17.32,1.31,18.86,-0.66,0.91
Edelweiss ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,18855.0,1.19,24.95,18.63,18.4,0.96,11.18,-1.41,1.04
Edelweiss Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,4803.0,1.67,23.0,13.31,25.21,1.64,15.01,-1.94,0.97
Edelweiss Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,16065.0,2.01,11.77,13.15,15.21,1.28,11.92,-1.04,0.85
Edelweiss Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,49500.0,0.46,18.37,13.86,20.91,0.76,11.78,0.11,0.99
Edelweiss Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,652.0,0.06,14.94,15.54,14.47,1.07,13.61,0.86,0.99
Edelweiss Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,11170.0,0.16,6.7,20.37,15.45,0.51,14.24,0.0,0.98
Edelweiss Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,22378.0,0.1,24.98,19.1,14.16,0.57,12.54,0.01,1.01
Edelweiss Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,11684.0,0.95,41.28,30.28,36.32,1.56,15.25,-1.56,1.25
Edelweiss International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,8404.0,1.25,39.13,28.63,16.42,1.32,12.8,2.02,0.9
Edelweiss Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,10629.0,0.47,6.44,5.67,6.26,2.93,1.58,-0.24,0.14
Parag Parikh Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,16804.0,1.34,17.22,15.6,17.26,1.94,15.97,-1.0,0.86
Parag Parikh Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,1709.0,1.08,15.42,15.13,23.1,1.89,17.55,5.18,1.0
Parag Parikh Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,356.0,1.7,42.44,17.63,32.1,0.76,16.23,2.68,0.82
Parag Parikh Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,51278.0,0.57,16.43,13.71,16.59,1.98,13.08,5.72,0.93
Parag Parikh Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,11541.0,0.63,12.35,22.08,20.53,1.48,16.41,5.11,1.07
Parag Parikh Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,8285.0,2.18,35.43,13.53,28.26,0.63,17.26,-0.65,1.14
Parag Parikh ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,10098.0,1.99,26.11,15.62,22.78,1.48,13.39,0.69,0.89
Parag Parikh Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,5317.0,0.83,6.0,16.44,13.88,1.09,19.95,-0.21,1.05
Parag Parikh Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,16747.0,1.96,23.4,18.83,17.14,1.51,14.97,0.31,0.99
Parag Parikh Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,42621.0,0.39,11.95,14.87,21.0,1.19,19.89,0.13,1.0
Parag Parikh Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,45331.0,0.06,24.33,12.42,11.39,1.13,12.11,-0.32,1.0
Parag Parikh Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,6236.0,0.18,18.65,15.55,23.36,1.29,13.64,0.05,0.98
Parag Parikh Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,22066.0,1.84,41.49,29.93,22.15,0.84,14.28,7.6,0.81
Parag Parikh IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,28370.0,1.88,7.44,36.65,36.02,1.85,16.4,-2.55,0.86
Parag Parikh International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,3581.0,1.84,5.65,15.0,30.54,1.56,22.85,0.77,0.75
WhiteOak Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,64596.0,1.85,10.66,14.43,14.88,0.86,13.85,-0.8,0.91
WhiteOak Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,12005.0,0.85,17.47,25.1,15.63,1.59,18.07,-1.1,1.08
WhiteOak Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,8512.0,1.85,44.6,19.07,38.37,1.36,21.51,5.62,0.99
WhiteOak Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,48951.0,0.81,25.02,21.71,19.38,1.26,16.26,-0.13,0.95
WhiteOak Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,10667.0,2.06,23.48,14.34,20.0,1.18,13.62,1.19,0.91
WhiteOak Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,14249.0,1.43,25.47,17.95,28.94,1.15,18.42,0.68,1.09
WhiteOak ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,10056.0,2.27,15.31,17.55,27.45,0.99,13.54,-1.85,1.07
WhiteOak Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,14184.0,1.28,15.7,14.15,19.55,1.57,16.06,3.72,1.04
WhiteOak Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,12196.0,0.61,25.46,21.22,23.27,1.29,15.73,4.39,0.86
WhiteOak Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,14212.0,0.32,26.49,14.99,11.88,1.59,18.15,-0.19,1.01
WhiteOak Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,27693.0,0.3,22.15,17.68,15.6,1.25,16.7,0.91,1.01
WhiteOak Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,21314.0,0.5,24.23,13.12,21.96,0.62,15.48,-0.3,1.02
WhiteOak Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,15520.0,0.42,5.38,14.55,20.08,0.74,18.88,-0.24,1.01
WhiteOak Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,16332.0,2.28,35.84,20.63,28.59,2.07,16.75,8.05,1.06
Mahindra Manulife Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,27325.0,1.51,19.3,14.03,22.18,1.12,15.1,-1.29,0.85
Mahindra Manulife Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,23884.0,1.34,11.17,27.06,18.78,1.21,19.6,5.2,1.03
Mahindra Manulife Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,1721.0,0.78,25.53,23.94,16.63,2.12,24.74,1.67,1.08
Mahindra Manulife Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,40293.0,2.08,10.9,22.58,25.58,2.0,14.15,0.36,1.04
Mahindra Manulife Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,17939.0,1.9,7.49,14.73,17.67,0.64,12.18,-0.11,1.07
Mahindra Manulife Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,12360.0,0.67,14.3,27.46,31.05,1.21,13.52,3.69,0.94
Mahindra Manulife ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,14610.0,0.99,21.9,17.55,27.94,0.79,16.18,4.18,1.06
Mahindra Manulife Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,5328.0,1.48,9.22,13.83,13.79,1.11,13.5,0.78,0.93
Mahindra Manulife Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,3958.0,1.08,21.33,14.72,16.76,0.56,14.98,3.5,0.82
Mahindra Manulife Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,34048.0,0.21,27.18,11.71,13.36,0.66,20.31,-0.95,1.01
Mahindra Manulife Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,2985.0,0.34,19.66,13.18,18.47,0.68,15.27,0.64,1.01
Mahindra Manulife Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,8836.0,0.38,13.39,19.5,11.45,0.65,15.58,-0.83,1.01
Mahindra Manulife Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,14770.0,1.22,11.77,16.94,32.86,2.46,26.27,7.75,1.05
Mahindra Manulife IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,1461.0,2.13,27.92,35.0,22.94,0.6,16.52,7.02,0.79
Mahindra Manulife Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,5017.0,1.43,25.82,30.15,18.31,2.23,17.69,9.75,0.72
Mahindra Manulife Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,6174.0,0.62,7.74,6.19,5.04,1.31,1.01,-0.37,0.05
Bajaj Finserv Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,29091.0,1.14,21.07,13.69,19.71,1.99,10.04,0.08,0.86
Bajaj Finserv Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,9706.0,0.97,18.93,26.56,29.88,1.94,18.06,6.01,0.86
Bajaj Finserv Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,17557.0,1.58,11.27,31.08,35.34,1.26,22.22,5.8,1.1
Bajaj Finserv Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,23366.0,0.75,19.36,15.4,22.3,1.37,14.05,3.53,1.1
Bajaj Finserv Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,13900.0,2.25,25.08,14.22,24.46,0.8,16.95,5.39,1.05
Bajaj Finserv Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,10876.0,2.13,11.38,17.29,19.38,1.9,16.52,-0.87,1.01
Bajaj Finserv ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,18866.0,2.29,17.49,12.76,26.35,1.28,17.21,4.82,1.08
Bajaj Finserv Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,11120.0,1.12,14.71,19.16,22.08,1.49,12.17,3.18,0.88
Bajaj Finserv Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,856.0,1.24,19.24,17.86,18.16,0.97,16.28,1.85,1.04
Bajaj Finserv Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,26918.0,0.24,20.98,14.09,22.83,1.01,16.98,-0.13,0.99
Bajaj Finserv Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,35161.0,0.27,11.28,19.99,11.2,1.16,19.69,0.04,1.01
Bajaj Finserv Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,12779.0,0.1,24.14,13.88,13.84,1.02,14.0,0.87,1.01
Bajaj Finserv Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,7639.0,0.36,16.6,11.16,15.67,0.67,17.18,-0.14,1.01
Bajaj Finserv Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,14616.0,1.3,24.93,23.91,20.58,0.9,23.88,4.13,1.03
Bajaj Finserv IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,16423.0,2.13,25.04,35.47,14.66,1.59,29.92,5.55,1.0
Bajaj Finserv Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,24740.0,1.8,39.74,24.3,24.68,0.84,16.33,6.27,0.83
Bajaj Finserv Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,14827.0,0.43,7.4,5.9,6.39,2.16,1.29,-0.41,0.09
JM Financial Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,36258.0,1.04,19.92,21.86,23.3,1.88,10.77,0.13,1.02
JM Financial Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,27287.0,1.52,20.4,25.14,27.86,1.75,15.41,3.7,1.08
JM Financial Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,24872.0,1.17,29.42,14.96,23.94,1.64,22.15,-2.0,0.88
JM Financial Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,43193.0,2.26,18.74,20.5,26.53,0.6,11.28,4.84,0.94
JM Financial Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,5400.0,0.61,16.95,22.09,22.87,1.97,18.58,1.79,1.04
JM Financial Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,9608.0,1.23,36.99,23.91,21.35,0.72,18.21,-1.41,1.12
JM Financial ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,38936.0,0.62,23.27,13.24,19.59,1.02,15.9,3.15,0.91
JM Financial Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,446.0,0.75,28.41,14.06,29.7,0.81,17.47,0.83,1.07
JM Financial Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,668.0,0.79,13.41,19.75,21.75,1.58,17.52,4.95,0.9
JM Financial Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,29281.0,0.38,10.97,17.75,15.25,0.7,17.33,0.18,0.98
JM Financial Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,44400.0,0.06,14.4,12.66,15.91,1.56,12.96,0.33,0.99
JM Financial Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,19897.0,0.08,16.44,21.05,23.33,1.3,14.9,0.78,0.98
JM Financial Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,6350.0,0.16,21.99,9.36,20.32,1.49,14.92,0.75,1.02
JM Financial Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,5352.0,1.98,24.35,32.79,13.24,0.45,21.78,1.69,1.09
JM Financial IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,7449.0,1.97,17.63,31.01,13.93,0.48,23.9,5.33,0.72
LIC Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,21937.0,0.77,21.18,17.56,16.92,0.84,15.27,0.06,0.99
LIC Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,18912.0,0.68,22.22,12.94,19.1,1.49,18.1,4.61,0.95
LIC Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,13360.0,1.84,33.4,34.32,16.73,0.98,16.41,6.78,0.98
LIC Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,36762.0,2.04,21.62,11.1,23.25,1.86,14.08,0.61,0.88
LIC Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,17137.0,0.97,10.32,25.05,18.37,1.45,18.02,0.53,0.93
LIC Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,14427.0,1.72,22.92,28.53,20.21,0.94,17.36,-1.18,0.94
LIC ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,33563.0,1.71,20.28,12.54,27.94,1.38,14.95,3.08,0.89
LIC Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,5096.0,0.79,13.82,25.69,22.02,1.94,16.96,5.92,0.95
LIC Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,9634.0,2.06,21.53,13.27,22.41,0.82,16.12,4.21,1.01
LIC Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,6224.0,1.33,19.52,18.64,14.83,0.84,14.26,2.46,0.8
LIC Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,22656.0,0.13,9.17,12.21,11.62,0.86,19.2,0.19,1.01
LIC Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,2702.0,0.29,8.37,15.6,11.3,1.39,20.83,-0.42,1.01
LIC Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,10664.0,0.19,6.52,20.71,23.56,0.91,18.0,-0.85,1.02
LIC Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,4773.0,1.97,9.2,15.35,33.94,1.74,25.99,-2.25,0.99
LIC Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,6688.0,0.42,6.06,6.1,5.34,2.92,1.1,-0.14,0.13
HSBC Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,56460.0,1.25,17.95,10.5,22.22,1.77,14.25,-0.85,0.99
HSBC Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,17455.0,1.65,13.88,24.07,29.32,1.88,15.65,4.52,0.97
HSBC Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,4372.0,1.81,34.38,26.26,28.57,1.82,16.93,8.11,0.9
HSBC Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,24232.0,0.98,6.33,17.8,24.03,1.74,14.22,3.47,0.88
HSBC Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,1867.0,1.75,19.61,20.13,19.84,1.92,16.21,1.68,0.86
